open_time,open,high,low,close,volume,quote_volume_24h
1704067200000,25000.0,25029.67281149537,24982.292667458976,25011.95700988434,492.5205228583835,12318902.144219646
1704067500000,25011.95700988434,25057.985124332776,24947.04269530719,24993.035990455104,773.6896411960379,31655755.192074515
1704067800000,24993.035990455104,25063.889789831905,24953.830851784205,25024.635083480458,595.3452737796893,46554053.417086005
1704068100000,25024.635083480458,25068.961449174047,24947.610902464658,24991.879247445384,653.7487016723537,62892462.027455665
1704068400000,24991.879247445384,25035.451246563924,24915.753671460363,24959.268816043303,754.9191064456662,81734690.93960026
1704068700000,24959.268816043303,24984.05939135359,24941.07878290914,24965.86455132207,712.4859787131361,99522519.37886855
1704069000000,24965.86455132207,25024.593953527165,24933.923029887334,24992.618203261893,864.0734762829655,121117977.87117398
1704069300000,24992.618203261893,25045.41647285315,24958.630328807743,25011.403052572034,408.83564986824706,131343531.09228893
1704069600000,25011.403052572034,25103.761474797473,24957.712894326916,25049.988488006908,364.92209036610353,140484825.25497922
1704069900000,25049.988488006908,25106.147961656006,24968.2127653611,25024.314681000193,722.6082219568237,158567600.7923048
1704070200000,25024.314681000193,25107.35893340162,24969.364278396606,25052.346975232034,675.3596640182905,175486945.42836717
1704070500000,25052.346975232034,25150.603094383245,24995.070514673775,25093.23315692339,686.4284418912589,192711654.36628816
1704070800000,25093.23315692339,25177.906718285805,25039.107531458976,25123.71534332653,903.1948302175441,215403264.18023786
1704071100000,25123.71534332653,25173.739512069573,25085.579018919347,25135.58516996266,332.07706855896356,223750215.6199932
1704071400000,25135.58516996266,25163.46863437236,25093.589753233176,25121.45754555449,355.85438384653924,232689796.4161935
1704071700000,25121.45754555449,25142.929778926846,25086.59359025316,25108.054367436398,494.58152217706447,245107776.16414467
1704072000000,25108.054367436398,25158.689248623952,25074.741461708534,25125.353390869288,559.1266769818178,259156031.51357526
1704072300000,25125.353390869288,25152.8930906057,25083.36441174518,25110.888256362865,955.6582113987458,283153458.0712848
1704072600000,25110.888256362865,25172.148937615195,25068.585276201145,25129.814074133163,419.7970537386679,293702879.9806064
1704072900000,25129.814074133163,25190.60470395548,25094.45988088925,25155.214775417262,565.6188092303535,307931142.6078117
1704073200000,25155.214775417262,25270.54041161057,25085.439835971127,25200.6394742099,689.8648206422524,325316177.23875755
1704073500000,25200.6394742099,25276.821855214257,25147.308103735577,25223.442227944368,843.1999380823713,346584582.16358453
1704073800000,25223.442227944368,25240.760156528842,25194.83043307625,25212.14060218262,520.8171336413574,359715496.9649762
1704074100000,25212.14060218262,25231.58876590868,25184.67608622615,25204.11806151757,960.0368000345381,383912377.8164482
1704074400000,25204.11806151757,25295.450374024982,25151.213032545562,25242.464852726484,758.8070657064161,403066538.5025429
1704074700000,25242.464852726484,25279.914365942965,25207.36622053221,25244.812469482007,621.1962968111791,418748522.52227783
1704075000000,25244.812469482007,25264.540174729776,25217.882932013224,25237.605004945995,692.9576939142055,436237115.0864228
1704075300000,25237.605004945995,25267.37737932642,25200.820319635797,25230.584411941785,928.4760185217339,459663107.64619905
1704075600000,25230.584411941785,25249.616381123258,25215.22633183771,25234.25606605082,998.2763245465771,484853868.0444834
1704075900000,25234.25606605082,25266.775836750217,25214.101270322913,25246.61117290279,332.9814627973142,493260521.5635116
1704076200000,25246.61117290279,25288.249083951352,25187.42272952514,25229.031647585038,854.4555550540749,514817607.8034257
1704076500000,25229.031647585038,25248.86643554338,25215.631412863924,25235.46278496582,567.1335005545757,529129484.1507781
1704076800000,25235.46278496582,25357.135656068367,25164.162296700546,25285.693246236413,979.7548643295327,553903265.1067226
1704077100000,25285.693246236413,25371.99056849916,25239.87844095275,25326.102546152026,804.5052735521363,574278248.163624
1704077400000,25326.102546152026,25401.967567472748,25277.503916680813,25353.3167163314,486.77763296677995,586619675.6626569
1704077700000,25353.3167163314,25410.792592080215,25320.36243214849,25377.806476065958,604.3356754683734,601956389.4812759
1704078000000,25377.806476065958,25433.15558425841,25333.080032056783,25388.410451553016,913.0970582647359,625138472.3786067
1704078300000,25388.410451553016,25412.28212168629,25360.999027638314,25384.86736635542,425.05631637109195,635928470.5929184
1704078600000,25384.86736635542,25509.093490851847,25307.02792030308,25431.112240812177,508.911354014043,648870652.3574733
1704078900000,25431.112240812177,25506.42167804905,25381.647422852708,25456.90668856541,406.98748798474435,659231294.8625145
1704079200000,25456.90668856541,25549.759460961723,25399.73603605836,25492.508853767322,845.0385350413908,680773447.1988317
1704079500000,25492.508853767322,25534.12614663932,25469.15056653271,25510.75114435066,526.9092399032711,694215297.693663
1704079800000,25510.75114435066,25564.793976692064,25436.25345844283,25490.252866543826,915.105314476229,717541563.5591801
1704080100000,25490.252866543826,25588.792430052952,25433.777386793925,25532.22396034056,340.5476165459313,726236501.5739911
1704080400000,25532.22396034056,25658.35632219462,25452.169933311,25578.158272198292,359.95741644751513,735443549.3431371
1704080700000,25578.158272198292,25617.973306671527,25554.63822691773,25594.43829132225,832.421515680062,756748910.4585794
1704081000000,25594.43829132225,25679.814606159875,25547.254165075738,25632.560201012173,632.6976646691119,772966571.4372503
1704081300000,25632.560201012173,25689.69091841009,25597.370178442747,25654.470815543817,910.7031287596802,796330178.2756399
1704081600000,25654.470815543817,25691.183197384544,25630.294936434035,25666.995515434133,677.5072621456209,813719754.1348056
1704081900000,25666.995515434133,25751.388077752144,25619.16877286094,25703.4933267739,518.2014039106265,827039340.4621472
1704082200000,25703.4933267739,25843.551909938622,25620.963266197818,25760.83772510333,606.6700587401529,842667669.3980312
